Attachmentname,Slot,WeaponUnlock,Points
Ribbed Vertical,Underbarrel,M240L,20
Slim Angled,Underbarrel,M240L,25
Stippled Stubby,Underbarrel,M240L,35
FMJ,Ammunition,M250,5
Tungsten Core,Ammunition,M250,5
Hollow Point,Ammunition,M250,20
Frangible,Ammunition,M250,20
406MM Standard,Barrel,M250,10
556MM Prototype,Barrel,M250,10
100RND Belt Pouch,Magazine,M250,55
50RND Belt Pouch,Magazine,M250,5
Compensated Brake,Muzzle,M250,20
CQB Suppressor,Muzzle,M250,30
Double-Port Brake,Muzzle,M250,10
Flash Hider,Muzzle,M250,10
Lightened Suppressor,Muzzle,M250,30
Linear Comp,Muzzle,M250,10
Long Suppressor,Muzzle,M250,25
Single-Port Brake,Muzzle,M250,10
Standard Suppressor,Muzzle,M250,20
Flashlight,Right Accessory,M250,10
Iron Sights,Scope,M250,5
MINI FLEX 1.00X,Scope,M250,10
R-MR 1.00X,Scope,M250,10
OSA-7 1.00x,Scope,M250,10
CQ RDS 1.25X,Scope,M250,10
RO-S 1.25X,Scope,M250,10
2PRO 1.25X,Scope,M250,10
ROX 1.50X,Scope,M250,10
SU-123 1.50X,Scope,M250,10
1P87 1.50X,Scope,M250,10
A-P2 1.75X,Scope,M250,10
RO-M 1.75x,Scope,M250,10
3VZR 1.75X,Scope,M250,10
CCO 2.00x,Scope,M250,10
R4T 2.00X,Scope,M250,10
BF-2M 2.50x,Scope,M250,10
BAKER 3.00X,Scope,M250,10
SDO 3.50X,Scope,M250,10
PVQ-31 4.00x,Scope,M250,10
LDS 4.50X,Scope,M250,10
ST PRISIM 5.00X,Scope,M250,10
SF-G2 5.00X,Scope,M250,10
NGFC LPVO,Scope,M250,25
MC-CO LPVO,Scope,M250,25
DVO LPVO,Scope,M250,25
GRIM 1.50X,Scope,M250,25
PAS-35 3.00X,Scope,M250,25
5 MW Red,Top Accessory,M250,10
5 MW Green,Top Accessory,M250,10
50 MW Green,Top Accessory,M250,20
50 MW Blue,Top Accessory,M250,20
120 MW Blue,Top Accessory,M250,30
6H64 Vertical,Underbarrel,M250,25
Adjustable Angled,Underbarrel,M250,15
Alloy Vertical,Underbarrel,M250,20
Bipod,Underbarrel,M250,10
Canted Stubby,Underbarrel,M250,30
Classic Grip Pod,Underbarrel,M250,30
Classic Vertical,Underbarrel,M250,35
Folding Stubby,Underbarrel,M250,20
Folding Vertical,Underbarrel,M250,10
Full Angled,Underbarrel,M250,25
Low-Profile Stubby,Underbarrel,M250,45
PTT Grip Pod,Underbarrel,M250,20
QD Grip Pod,Underbarrel,M250,30
Ribbed Stubby,Underbarrel,M250,30
Ribbed Vertical,Underbarrel,M250,20
Slim Angled,Underbarrel,M250,25
Stippled Stubby,Underbarrel,M250,35
FMJ,Ammunition,M277,5
Tungsten Core,Ammunition,M277,5
Hollow Point,Ammunition,M277,20
Frangible,Ammunition,M277,20
"13"" Factory",Barrel,M277,10
"13"" Prototype",Barrel,M277,10
"16"" Rifle",Barrel,M277,15
"16"" Custom",Barrel,M277,10
"13"" Fluted",Barrel,M277,20
Improved Mag Catch,Ergonomics,M277,5
Magwell Flare,Ergonomics,M277,10
Match Trigger,Ergonomics,M277,15
15RND Magazine,Magazine,M277,5
20RND Fast Mag,Magazine,M277,10
20RND Magazine,Magazine,M277,5
25RND Fast Mag,Magazine,M277,25
25RND Magazine,Magazine,M277,20
30RND Magazine,Magazine,M277,40
Compensated Brake,Muzzle,M277,20
CQB Suppressor,Muzzle,M277,30
Double-Port Brake,Muzzle,M277,10
Flash Hider,Muzzle,M277,10
Lightened Suppressor,Muzzle,M277,30
Linear Comp,Muzzle,M277,10
Long Suppressor,Muzzle,M277,25
Single-Port Brake,Muzzle,M277,10
Standard Suppressor,Muzzle,M277,20
Flashlight,Right Accessory,M277,10
Iron Sights,Scope,M277,5
MINI FLEX 1.00X,Scope,M277,10
R-MR 1.00X,Scope,M277,10
OSA-7 1.00x,Scope,M277,10
CQ RDS 1.25X,Scope,M277,10
RO-S 1.25X,Scope,M277,10
2PRO 1.25X,Scope,M277,10
ROX 1.50X,Scope,M277,10
SU-123 1.50X,Scope,M277,10
1P87 1.50X,Scope,M277,10
A-P2 1.75X,Scope,M277,10
RO-M 1.75x,Scope,M277,10
3VZR 1.75X,Scope,M277,10
CCO 2.00x,Scope,M277,10
R4T 2.00X,Scope,M277,10
BF-2M 2.50x,Scope,M277,10
BAKER 3.00X,Scope,M277,10
SDO 3.50X,Scope,M277,10
PVQ-31 4.00x,Scope,M277,10
LDS 4.50X,Scope,M277,10
ST PRISIM 5.00X,Scope,M277,10
SF-G2 5.00X,Scope,M277,10
NGFC LPVO,Scope,M277,25
GRIM 1.50X,Scope,M277,25
PAS-35 3.00X,Scope,M277,25
5 MW Red,Top Accessory,M277,10
5 MW Green,Top Accessory,M277,10
50 MW Green,Top Accessory,M277,20
50 MW Blue,Top Accessory,M277,20
120 MW Blue,Top Accessory,M277,30
6H64 Vertical,Underbarrel,M277,25
Adjustable Angled,Underbarrel,M277,15
Alloy Vertical,Underbarrel,M277,20
Bipod,Underbarrel,M277,10
Canted Stubby,Underbarrel,M277,30
Classic Grip Pod,Underbarrel,M277,30
Classic Vertical,Underbarrel,M277,35
Folding Stubby,Underbarrel,M277,20
Folding Vertical,Underbarrel,M277,10
Full Angled,Underbarrel,M277,25
Low-Profile Stubby,Underbarrel,M277,45
PTT Grip Pod,Underbarrel,M277,20
QD Grip Pod,Underbarrel,M277,30
Ribbed Stubby,Underbarrel,M277,30
Ribbed Vertical,Underbarrel,M277,20
Slim Angled,Underbarrel,M277,25
Stippled Stubby,Underbarrel,M277,35
Underslung Mount,Underbarrel,M277,10
FMJ,Ammunition,M39 EMR,5
Tungsten Core,Ammunition,M39 EMR,5
Polymer Case,Ammunition,M39 EMR,10
Match Grade,Ammunition,M39 EMR,10
Hollow Point,Ammunition,M39 EMR,20
Frangible,Ammunition,M39 EMR,20
"22"" Factory",Barrel,M39 EMR,15
"18"" EBR",Barrel,M39 EMR,10
"16"" Short",Barrel,M39 EMR,15
Improved Mag Catch,Ergonomics,M39 EMR,5
Flashlight,Left Accessory,M39 EMR,10
Range Finder,Left Accessory,M39 EMR,15
15RND Fast Mag,Magazine,M39 EMR,10
15RND Magazine,Magazine,M39 EMR,5
20RND Fast Mag,Magazine,M39 EMR,10
20RND Magazine,Magazine,M39 EMR,5
25RND Magazine,Magazine,M39 EMR,20
Compensated Brake,Muzzle,M39 EMR,20
CQB Suppressor,Muzzle,M39 EMR,30
Double-Port Brake,Muzzle,M39 EMR,10
Flash Hider,Muzzle,M39 EMR,10
Lightened Suppressor,Muzzle,M39 EMR,30
Linear Comp,Muzzle,M39 EMR,10
Long Suppressor,Muzzle,M39 EMR,25
Single-Port Brake,Muzzle,M39 EMR,5
Standard Suppressor,Muzzle,M39 EMR,20
Canted Iron Sights,Optic Accessory,M39 EMR,5
Canted Reflex,Optic Accessory,M39 EMR,10
5 MW Red,Right Accessory,M39 EMR,10
5 MW Green,Right Accessory,M39 EMR,10
50 MW Green,Right Accessory,M39 EMR,20
50 MW Blue,Right Accessory,M39 EMR,20
120 MW Blue,Right Accessory,M39 EMR,30
Iron Sights,Scope,M39 EMR,5
MINI FLEX 1.00X,Scope,M39 EMR,10
R-MR 1.00X,Scope,M39 EMR,10
OSA-7 1.00x,Scope,M39 EMR,10
CQ RDS 1.25X,Scope,M39 EMR,10
RO-S 1.25X,Scope,M39 EMR,10
2PRO 1.25X,Scope,M39 EMR,10
ROX 1.50X,Scope,M39 EMR,10
SU-123 1.50X,Scope,M39 EMR,10
1P87 1.50X,Scope,M39 EMR,10
A-P2 1.75X,Scope,M39 EMR,10
RO-M 1.75x,Scope,M39 EMR,10
3VZR 1.75X,Scope,M39 EMR,10
CCO 2.00x,Scope,M39 EMR,10
R4T 2.00X,Scope,M39 EMR,10
BF-2M 2.50x,Scope,M39 EMR,10
BAKER 3.00X,Scope,M39 EMR,10
SDO 3.50X,Scope,M39 EMR,10
PVQ-31 4.00x,Scope,M39 EMR,10
LDS 4.50X,Scope,M39 EMR,10
ST PRISIM 5.00X,Scope,M39 EMR,10
SF-G2 5.00X,Scope,M39 EMR,10
S-VPS 6.00X,Scope,M39 EMR,10
GRIM 1.50X,Scope,M39 EMR,25
NFX 8.00X,Scope,M39 EMR,10
SSDS 6.00X,Scope,M39 EMR,10
LERT 8.00X,Scope,M39 EMR,10
R-VPS 10.00X,Scope,M39 EMR,10
MARS-F LPVO,Scope,M39 EMR,25
MC-CO LPVO,Scope,M39 EMR,25
DVO LPVO,Scope,M39 EMR,25
SM RIFLE VARIABLE,Scope,M39 EMR,25
1P88 VARIABLE,Scope,M39 EMR,25
PAS-35 3.00X,Scope,M39 EMR,25
TS-HD 6.00X,Scope,M39 EMR,25
6H64 Vertical,Underbarrel,M39 EMR,25
Adjustable Angled,Underbarrel,M39 EMR,15
Alloy Vertical,Underbarrel,M39 EMR,20
Bipod,Underbarrel,M39 EMR,10
Canted Stubby,Underbarrel,M39 EMR,30
Classic Grip Pod,Underbarrel,M39 EMR,30
Classic Vertical,Underbarrel,M39 EMR,35
Folding Stubby,Underbarrel,M39 EMR,20
Folding Vertical,Underbarrel,M39 EMR,10
Full Angled,Underbarrel,M39 EMR,25
Low-Profile Stubby,Underbarrel,M39 EMR,45
PTT Grip Pod,Underbarrel,M39 EMR,20
QD Grip Pod,Underbarrel,M39 EMR,30
Ribbed Stubby,Underbarrel,M39 EMR,30
Ribbed Vertical,Underbarrel,M39 EMR,20
Slim Angled,Underbarrel,M39 EMR,25
Stippled Stubby,Underbarrel,M39 EMR,35
FMJ,Ammunition,M417 A2,5
Tungsten Core,Ammunition,M417 A2,5
Polymer Case,Ammunition,M417 A2,10
Hollow Point,Ammunition,M417 A2,20
Frangible,Ammunition,M417 A2,20
"13"" Standard",Barrel,M417 A2,10
"16.5"" Rifle",Barrel,M417 A2,15
"12"" Assaulter",Barrel,M417 A2,15
Magwell Flare,Ergonomics,M417 A2,10
Match Trigger,Ergonomics,M417 A2,15
10RND Magazine,Magazine,M417 A2,5
20RND Fast Mag,Magazine,M417 A2,10
20RND Magazine,Magazine,M417 A2,5
25RND Magazine,Magazine,M417 A2,15
Compensated Brake,Muzzle,M417 A2,20
CQB Suppressor,Muzzle,M417 A2,30
Double-Port Brake,Muzzle,M417 A2,10
Flash Hider,Muzzle,M417 A2,10
Lightened Suppressor,Muzzle,M417 A2,30
Linear Comp,Muzzle,M417 A2,10
Long Suppressor,Muzzle,M417 A2,25
Standard Suppressor,Muzzle,M417 A2,20
Canted Iron Sights,Optic Accessory,M417 A2,5
Canted Reflex,Optic Accessory,M417 A2,10
Flashlight,Right Accessory,M417 A2,10
Iron Sights,Scope,M417 A2,5
MINI FLEX 1.00X,Scope,M417 A2,10
R-MR 1.00X,Scope,M417 A2,10
OSA-7 1.00x,Scope,M417 A2,10
CQ RDS 1.25X,Scope,M417 A2,10
RO-S 1.25X,Scope,M417 A2,10
2PRO 1.25X,Scope,M417 A2,10
ROX 1.50X,Scope,M417 A2,10
CCO 2.00x,Scope,M417 A2,10
3VZR 1.75X,Scope,M417 A2,10
A-P2 1.75X,Scope,M417 A2,10
RO-M 1.75x,Scope,M417 A2,10
1P87 1.50X,Scope,M417 A2,10
R4T 2.00X,Scope,M417 A2,10
BF-2M 2.50x,Scope,M417 A2,10
BAKER 3.00X,Scope,M417 A2,10
SDO 3.50X,Scope,M417 A2,10
PVQ-31 4.00x,Scope,M417 A2,10
LDS 4.50X,Scope,M417 A2,10
ST PRISIM 5.00X,Scope,M417 A2,10
SF-G2 5.00X,Scope,M417 A2,10
NGFC LPVO,Scope,M417 A2,25
SU-123 1.50X,Scope,M417 A2,10
GRIM 1.50X,Scope,M417 A2,25
PAS-35 3.00X,Scope,M417 A2,25
5 MW Red,Top Accessory,M417 A2,10
5 MW Green,Top Accessory,M417 A2,10
50 MW Green,Top Accessory,M417 A2,20
50 MW Blue,Top Accessory,M417 A2,20
120 MW Blue,Top Accessory,M417 A2,30
6H64 Vertical,Underbarrel,M417 A2,25
Adjustable Angled,Underbarrel,M417 A2,15
Alloy Vertical,Underbarrel,M417 A2,20
Bipod,Underbarrel,M417 A2,10
Canted Stubby,Underbarrel,M417 A2,30
Classic Grip Pod,Underbarrel,M417 A2,30
Classic Vertical,Underbarrel,M417 A2,35
Folding Stubby,Underbarrel,M417 A2,20
Folding Vertical,Underbarrel,M417 A2,10
Full Angled,Underbarrel,M417 A2,25
Low-Profile Stubby,Underbarrel,M417 A2,45
PTT Grip Pod,Underbarrel,M417 A2,20
QD Grip Pod,Underbarrel,M417 A2,30
Ribbed Stubby,Underbarrel,M417 A2,30
Ribbed Vertical,Underbarrel,M417 A2,20
Slim Angled,Underbarrel,M417 A2,25
Stippled Stubby,Underbarrel,M417 A2,35
Underslung Mount,Underbarrel,M417 A2,10
FMJ,Ammunition,M433,5
Tungsten Core,Ammunition,M433,5
Polymer Case,Ammunition,M433,10
Hollow Point,Ammunition,M433,20
Frangible,Ammunition,M433,20
"14.5"" Standard",Barrel,M433,15
"16.5"" Rifle",Barrel,M433,10
"16.5"" Fluted",Barrel,M433,20
"18.9"" Prototype",Barrel,M433,15
Match Trigger,Ergonomics,M433,15
Magwell Flare,Ergonomics,M433,10
20RND Fast Mag,Magazine,M433,5
20RND Magazine,Magazine,M433,5
30RND Fast Mag,Magazine,M433,10
30RND Magazine,Magazine,M433,5
36RND Magazine,Magazine,M433,15
40RND Fast Mag,Magazine,M433,30
40RND Magazine,Magazine,M433,25
Compensated Brake,Muzzle,M433,20
CQB Suppressor,Muzzle,M433,30
Double-Port Brake,Muzzle,M433,10
Flash Hider,Muzzle,M433,10
Lightened Suppressor,Muzzle,M433,30
Linear Comp,Muzzle,M433,10
Long Suppressor,Muzzle,M433,25
Standard Suppressor,Muzzle,M433,20
Canted Reflex,Optic Accessory,M433,10
Canted Iron Sights,Optic Accessory,M433,5
Flashlight,Right Accessory,M433,10
SU-123 1.5x,Scope,M433,10
Iron Sights,Scope,M433,5
OSA-7 1.00x,Scope,M433,10
RO-M 1.75x,Scope,M433,10
CCO 2.00x,Scope,M433,10
DVO LPVO,Scope,M433,25
ST PRISIM 5.00X,Scope,M433,10
PVQ-31 4.00x,Scope,M433,10
BF-2M 2.50x,Scope,M433,10
MINI FLEX 1.00X,Scope,M433,10
R-MR 1.00X,Scope,M433,10
CQ RDS 1.25X,Scope,M433,10
RO-S 1.25X,Scope,M433,10
2PRO 1.25X,Scope,M433,10
ROX 1.50X,Scope,M433,10
1P87 1.50X,Scope,M433,10
A-P2 1.75X,Scope,M433,10
3VZR 1.75X,Scope,M433,10
R4T 2.00X,Scope,M433,10
BAKER 3.00X,Scope,M433,10
SDO 3.50X,Scope,M433,10
LDS 4.50X,Scope,M433,10
SF-G2 5.00X,Scope,M433,10
MARS-F LPVO,Scope,M433,25
MC-CO LPVO,Scope,M433,25
GRIM 1.50X,Scope,M433,25
PAS-35 3.00X,Scope,M433,25
50 MW Green,Top Accessory,M433,20
120 MW Blue,Top Accessory,M433,30
5 MW Red,Top Accessory,M433,10
5 MW Green,Top Accessory,M433,10
50 MW Blue,Top Accessory,M433,20
6H64 Vertical,Underbarrel,M433,25
Adjustable Angled,Underbarrel,M433,15
Alloy Vertical,Underbarrel,M433,20
Bipod,Underbarrel,M433,10
Canted Stubby,Underbarrel,M433,30
Classic Grip Pod,Underbarrel,M433,30
Classic Vertical,Underbarrel,M433,35
Folding Stubby,Underbarrel,M433,20
Folding Vertical,Underbarrel,M433,10
Full Angled,Underbarrel,M433,25
Low-Profile Stubby,Underbarrel,M433,45
PTT Grip Pod,Underbarrel,M433,20
QD Grip Pod,Underbarrel,M433,30
Ribbed Stubby,Underbarrel,M433,30
Ribbed Vertical,Underbarrel,M433,20
Slim Angled,Underbarrel,M433,25
Stippled Stubby,Underbarrel,M433,35
Underslung Mount,Underbarrel,M433,10
FMJ,Ammunition,M44,5
Tungsten Core,Ammunition,M44,5
Hollow Point,Ammunition,M44,20
Frangible,Ammunition,M44,20
"6.75"" Factory",Barrel,M44,10
"8.37"" Long",Barrel,M44,15
"5.12"" Compact",Barrel,M44,15
6RND Speedloader,Magazine,M44,5
Iron Sights,Scope,M44,5
MINI FLEX 1.00X,Scope,M44,10
R-MR 1.00X,Scope,M44,10
OSA-7 1.00x,Scope,M44,10
CQ RDS 1.25X,Scope,M44,10
RO-S 1.25X,Scope,M44,10
2PRO 1.25X,Scope,M44,10
ROX 1.50X,Scope,M44,10
SU-123 1.50X,Scope,M44,10
1P87 1.50X,Scope,M44,10
A-P2 1.75X,Scope,M44,10
RO-M 1.75x,Scope,M44,10
3VZR 1.75X,Scope,M44,10
CCO 2.00x,Scope,M44,10
R4T 2.00X,Scope,M44,10
BF-2M 2.50x,Scope,M44,10
BAKER 3.00X,Scope,M44,10
SDO 3.50X,Scope,M44,10
PVQ-31 4.00x,Scope,M44,10
LDS 4.50X,Scope,M44,10
ST PRISIM 5.00X,Scope,M44,10
SF-G2 5.00X,Scope,M44,10
FMJ,Ammunition,M45A1,5
Tungsten Core,Ammunition,M45A1,5
Hollow Point,Ammunition,M45A1,20
Frangible,Ammunition,M45A1,20
"5"" Factory",Barrel,M45A1,10
"5"" Pencil",Barrel,M45A1,20
Improved Mag Catch,Ergonomics,M45A1,5
11RND Magazine,Magazine,M45A1,25
7RND Magazine,Magazine,M45A1,5
CQB Suppressor,Muzzle,M45A1,30
Flash Hider,Muzzle,M45A1,10
Single-Port Brake,Muzzle,M45A1,10
Standard Suppressor,Muzzle,M45A1,20
Iron Sights,Scope,M45A1,5
MINI FLEX 1.00X,Scope,M45A1,10
R-MR 1.00X,Scope,M45A1,10
CQ RDS 1.25X,Scope,M45A1,10
RO-S 1.25X,Scope,M45A1,10
ROX 1.50X,Scope,M45A1,10
A-P2 1.75X,Scope,M45A1,10
5 MW Green,Underbarrel,M45A1,10
5 MW Red,Underbarrel,M45A1,10
50 MW Green,Underbarrel,M45A1,20
Flashlight,Underbarrel,M45A1,10
Laser/Light Combo Green,Underbarrel,M45A1,20
Laser/Light Combo Red,Underbarrel,M45A1,20
FMJ,Ammunition,M4A1,5
Tungsten Core,Ammunition,M4A1,5
Polymer Case,Ammunition,M4A1,10
Hollow Point,Ammunition,M4A1,20
Frangible,Ammunition,M4A1,20
"11.5"" Commando",Barrel,M4A1,15
"12.5"" Mid",Barrel,M4A1,10
"14.5"" Carbine",Barrel,M4A1,15
"12.5"" Fluted",Barrel,M4A1,20
Magwell Flare,Ergonomics,M4A1,10
Improved Mag Catch,Ergonomics,M4A1,5
Match Trigger,Ergonomics,M4A1,15
20RND Fast Mag,Magazine,M4A1,5
20RND Magazine,Magazine,M4A1,5
30RND Fast Mag,Magazine,M4A1,10
30RND Magazine,Magazine,M4A1,5
36RND Magazine,Magazine,M4A1,15
40RND Fast Mag,Magazine,M4A1,30
40RND Magazine,Magazine,M4A1,25
Compensated Brake,Muzzle,M4A1,20
CQB Suppressor,Muzzle,M4A1,30
Double-Port Brake,Muzzle,M4A1,10
Flash Hider,Muzzle,M4A1,10
Lightened Suppressor,Muzzle,M4A1,30
Linear Comp,Muzzle,M4A1,10
Long Suppressor,Muzzle,M4A1,25
Single-Port Brake,Muzzle,M4A1,5
Standard Suppressor,Muzzle,M4A1,20
Canted Iron Sights,Optic Accessory,M4A1,5
Canted Reflex,Optic Accessory,M4A1,10
Flashlight,Right Accessory,M4A1,10
Iron Sights,Scope,M4A1,5
MINI FLEX 1.00X,Scope,M4A1,10
R-MR 1.00X,Scope,M4A1,10
OSA-7 1.00x,Scope,M4A1,10
CQ RDS 1.25X,Scope,M4A1,10
RO-S 1.25X,Scope,M4A1,10
2PRO 1.25X,Scope,M4A1,10
ROX 1.50X,Scope,M4A1,10
SU-123 1.50X,Scope,M4A1,10
1P87 1.50X,Scope,M4A1,10
A-P2 1.75X,Scope,M4A1,10
RO-M 1.75x,Scope,M4A1,10
3VZR 1.75X,Scope,M4A1,10
CCO 2.00x,Scope,M4A1,10
R4T 2.00X,Scope,M4A1,10
BF-2M 2.50x,Scope,M4A1,10
BAKER 3.00X,Scope,M4A1,10
SDO 3.50X,Scope,M4A1,10
PVQ-31 4.00x,Scope,M4A1,10
LDS 4.50X,Scope,M4A1,10
ST PRISIM 5.00X,Scope,M4A1,10
SF-G2 5.00X,Scope,M4A1,10
NGFC LPVO,Scope,M4A1,25
GRIM 1.50X,Scope,M4A1,25
PAS-35 3.00X,Scope,M4A1,25
5 MW Green,Top Accessory,M4A1,10
50 MW Green,Top Accessory,M4A1,20
50 MW Blue,Top Accessory,M4A1,20
120 MW Blue,Top Accessory,M4A1,30
5 MW Red,Top Accessory,M4A1,10
6H64 Vertical,Underbarrel,M4A1,25
Adjustable Angled,Underbarrel,M4A1,15
Alloy Vertical,Underbarrel,M4A1,20
Bipod,Underbarrel,M4A1,10
Canted Stubby,Underbarrel,M4A1,30
Classic Grip Pod,Underbarrel,M4A1,30
Classic Vertical,Underbarrel,M4A1,35
Folding Stubby,Underbarrel,M4A1,20
Folding Vertical,Underbarrel,M4A1,10
Full Angled,Underbarrel,M4A1,25
Low-Profile Stubby,Underbarrel,M4A1,45
PTT Grip Pod,Underbarrel,M4A1,20
QD Grip Pod,Underbarrel,M4A1,30
Ribbed Stubby,Underbarrel,M4A1,30
Ribbed Vertical,Underbarrel,M4A1,20
Slim Angled,Underbarrel,M4A1,25
Stippled Stubby,Underbarrel,M4A1,35
Underslung Mount,Underbarrel,M4A1,10
Buckshot,Ammunition,M87A1,10
Flechette,Ammunition,M87A1,30
Slugs,Ammunition,M87A1,40
"20"" Factory",Barrel,M87A1,10
Flashlight,Left Accessory,M87A1,10
5 Shell Tube,Magazine,M87A1,5
6 Shell Tube,Magazine,M87A1,5
7 Shell Tube,Magazine,M87A1,5
CQB Suppressor,Muzzle,M87A1,30
Lightened Suppressor,Muzzle,M87A1,30
5 MW Red,Right Accessory,M87A1,10
5 MW Green,Right Accessory,M87A1,10
50 MW Green,Right Accessory,M87A1,20
50 MW Blue,Right Accessory,M87A1,20
120 MW Blue,Right Accessory,M87A1,30
Iron Sights,Scope,M87A1,5
MINI FLEX 1.00X,Scope,M87A1,10
R-MR 1.00X,Scope,M87A1,10
OSA-7 1.00x,Scope,M87A1,10
CQ RDS 1.25X,Scope,M87A1,10
RO-S 1.25X,Scope,M87A1,10
2PRO 1.25X,Scope,M87A1,10
ROX 1.50X,Scope,M87A1,10
SU-123 1.50X,Scope,M87A1,10
1P87 1.50X,Scope,M87A1,10
A-P2 1.75X,Scope,M87A1,10
RO-M 1.75x,Scope,M87A1,10
3VZR 1.75X,Scope,M87A1,10
CCO 2.00x,Scope,M87A1,10
R4T 2.00X,Scope,M87A1,10
BF-2M 2.50x,Scope,M87A1,10
BAKER 3.00X,Scope,M87A1,10
SDO 3.50X,Scope,M87A1,10
PVQ-31 4.00x,Scope,M87A1,10
LDS 4.50X,Scope,M87A1,10
ST PRISIM 5.00X,Scope,M87A1,10
SF-G2 5.00X,Scope,M87A1,10
MARS-F LPVO,Scope,M87A1,25
GRIM 1.50X,Scope,M87A1,25
PAS-35 3.00X,Scope,M87A1,25
6H64 Vertical,Underbarrel,M87A1,25
Adjustable Angled,Underbarrel,M87A1,15
Alloy Vertical,Underbarrel,M87A1,20
Canted Stubby,Underbarrel,M87A1,30
Classic Vertical,Underbarrel,M87A1,35
Folding Stubby,Underbarrel,M87A1,20
Folding Vertical,Underbarrel,M87A1,10
Full Angled,Underbarrel,M87A1,25
Low-Profile Stubby,Underbarrel,M87A1,45
Ribbed Stubby,Underbarrel,M87A1,30
Ribbed Vertical,Underbarrel,M87A1,20
Slim Angled,Underbarrel,M87A1,25
Stippled Stubby,Underbarrel,M87A1,35
FMJ,Ammunition,NVO-228E,5
Tungsten Core,Ammunition,NVO-228E,5
Polymer Case,Ammunition,NVO-228E,10
Hollow Point,Ammunition,NVO-228E,20
Frangible,Ammunition,NVO-228E,20
409MM Factory,Barrel,NVO-228E,10
458MM Custom,Barrel,NVO-228E,15
409MM Cut,Barrel,NVO-228E,15
409MM Fluted,Barrel,NVO-228E,20
Match Trigger,Ergonomics,NVO-228E,15
Flashlight,Left Accessory,NVO-228E,10
20RND Fast Mag,Magazine,NVO-228E,5
20RND Magazine,Magazine,NVO-228E,5
30RND Fast Mag,Magazine,NVO-228E,10
30RND Magazine,Magazine,NVO-228E,5
36RND Magazine,Magazine,NVO-228E,15
40RND Fast Mag,Magazine,NVO-228E,30
40RND Magazine,Magazine,NVO-228E,25
Compensated Brake,Muzzle,NVO-228E,20
CQB Suppressor,Muzzle,NVO-228E,30
Double-Port Brake,Muzzle,NVO-228E,10
Flash Hider,Muzzle,NVO-228E,10
Lightened Suppressor,Muzzle,NVO-228E,30
Linear Comp,Muzzle,NVO-228E,10
Long Suppressor,Muzzle,NVO-228E,25
Single-Port Brake,Muzzle,NVO-228E,5
Standard Suppressor,Muzzle,NVO-228E,20
Canted Iron Sights,Optic Accessory,NVO-228E,5
Canted Reflex,Optic Accessory,NVO-228E,10
5 MW Red,Right Accessory,NVO-228E,10
5 MW Green,Right Accessory,NVO-228E,10
50 MW Green,Right Accessory,NVO-228E,20
50 MW Blue,Right Accessory,NVO-228E,20
120 MW Blue,Right Accessory,NVO-228E,30
Iron Sights,Scope,NVO-228E,5
MINI FLEX 1.00X,Scope,NVO-228E,10
R-MR 1.00X,Scope,NVO-228E,10
OSA-7 1.00x,Scope,NVO-228E,10
CQ RDS 1.25X,Scope,NVO-228E,10
RO-S 1.25X,Scope,NVO-228E,10
2PRO 1.25X,Scope,NVO-228E,10
ROX 1.50X,Scope,NVO-228E,10
SU-123 1.50X,Scope,NVO-228E,10
1P87 1.50X,Scope,NVO-228E,10
A-P2 1.75X,Scope,NVO-228E,10
RO-M 1.75x,Scope,NVO-228E,10
3VZR 1.75X,Scope,NVO-228E,10
CCO 2.00x,Scope,NVO-228E,10
R4T 2.00X,Scope,NVO-228E,10
BF-2M 2.50x,Scope,NVO-228E,10
BAKER 3.00X,Scope,NVO-228E,10
SDO 3.50X,Scope,NVO-228E,10
PVQ-31 4.00x,Scope,NVO-228E,10
LDS 4.50X,Scope,NVO-228E,10
ST PRISIM 5.00X,Scope,NVO-228E,10
SF-G2 5.00X,Scope,NVO-228E,10
MARS-F LPVO,Scope,NVO-228E,25
MC-CO LPVO,Scope,NVO-228E,25
DVO LPVO,Scope,NVO-228E,25
GRIM 1.50X,Scope,NVO-228E,25
PAS-35 3.00X,Scope,NVO-228E,25
6H64 Vertical,Underbarrel,NVO-228E,25
Alloy Vertical,Underbarrel,NVO-228E,20
Bipod,Underbarrel,NVO-228E,10
Canted Stubby,Underbarrel,NVO-228E,30
Classic Grip Pod,Underbarrel,NVO-228E,30
Classic Vertical,Underbarrel,NVO-228E,35
Folding Stubby,Underbarrel,NVO-228E,20
Folding Vertical,Underbarrel,NVO-228E,10
Full Angled,Underbarrel,NVO-228E,25
Low-Profile Stubby,Underbarrel,NVO-228E,45
PTT Grip Pod,Underbarrel,NVO-228E,20
QD Grip Pod,Underbarrel,NVO-228E,30
Ribbed Stubby,Underbarrel,NVO-228E,30
Ribbed Vertical,Underbarrel,NVO-228E,20
Slim Angled,Underbarrel,NVO-228E,25
Stippled Stubby,Underbarrel,NVO-228E,35
FMJ,Ammunition,P18,5
Tungsten Core,Ammunition,P18,5
Hollow Point,Ammunition,P18,20
Frangible,Ammunition,P18,20
"3.9"" Factory",Barrel,P18,10
"3.9"" Pencil",Barrel,P18,20
Improved Mag Catch,Ergonomics,P18,5
17RND Magazine,Magazine,P18,5
21RND Magazine,Magazine,P18,15
CQB Suppressor,Muzzle,P18,30
Flash Hider,Muzzle,P18,10
